time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-17T11:48:48.530Z,5.4319,94.6079,54.55,5.6,mb,,67,2.338,1,us,us10007tps,2017-01-17T12:14:46.732Z,"80km W of Banda Aceh, Indonesia",earthquake,7.4,5.8,0.045,173,reviewed,us,us
2017-01-17T10:41:14.950Z,29.6,51.497,10,4.8,mb,,122,6.247,0.97,us,us10007tpm,2017-01-17T11:35:39.040Z,"15km W of Kazerun, Iran",earthquake,9.4,1.9,0.07,63,reviewed,us,us
2017-01-17T09:22:02.520Z,-56.8549,-26.0493,91.68,5.1,mb,,219,17.254,0.75,us,us10007tmm,2017-01-17T09:40:37.040Z,"72km ESE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,20.9,12.9,0.108,28,reviewed,us,us
2017-01-17T09:08:02.020Z,19.8621,-76.5937,11.03,5.4,mb,,28,1.396,1.22,us,us10007tmh,2017-01-17T10:25:47.038Z,"43km S of Guisa, Cuba",earthquake,6.9,4.2,0.023,661,reviewed,us,us
2017-01-17T07:46:20.450Z,22.0455,143.7031,121.76,4.7,mb,,102,5.214,0.69,us,us10007tm6,2017-01-17T08:04:43.040Z,"207km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,11.2,7,0.061,82,reviewed,us,us
2017-01-17T01:17:48.200Z,-13.5404,166.5384,44.83,5.1,mb,,88,7.296,1.21,us,us10007tl5,2017-01-17T03:06:36.040Z,"115km WNW of Sola, Vanuatu",earthquake,8.3,5.9,0.086,44,reviewed,us,us
2017-01-16T20:47:38.290Z,-13.4817,166.4962,10,5.9,mwb,,61,7.289,1.18,us,us10007tjy,2017-01-16T22:53:28.114Z,"122km WNW of Sola, Vanuatu",earthquake,8.9,1.8,0.048,41,reviewed,us,us
2017-01-16T19:07:20.890Z,55.5225,160.077,198.42,5,mb,,97,2.64,0.84,us,us10007tjn,2017-01-16T19:23:18.040Z,"97km ESE of Esso, Russia",earthquake,10.2,8.4,0.062,83,reviewed,us,us
2017-01-16T15:06:36.730Z,-7.6425,129.9771,10,5.3,mb,,39,1.352,0.7,us,us10007tiy,2017-01-16T16:10:12.040Z,"151km WNW of Saumlaki, Indonesia",earthquake,7.3,1.7,0.055,110,reviewed,us,us
2017-01-16T15:02:04.890Z,-17.1073,-174.8914,248.98,4.7,mb,,127,4.372,0.46,us,us10007tiz,2017-01-16T16:24:12.040Z,"176km SW of Hihifo, Tonga",earthquake,17.1,19.5,0.13,18,reviewed,us,us
