"date","close","volume","open","high","low"
"16:00","195.08","4,270,591","195.50","196.45","195"
"2012/12/19","195.0800","4269191.0000","195.4600","196.4500","195.0000"
"2012/12/18","195.6900","4119679.0000","193.8500","195.9200","193.8400"
"2012/12/17","193.6200","3792350.0000","191.7600","193.9100","191.7600"
"2012/12/14","191.7600","3826833.0000","191.6900","193.4000","191.2600"
"2012/12/13","191.9900","3623185.0000","192.1800","193.0500","191.3700"
"2012/12/12","192.9500","4241864.0000","194.6000","194.7500","192.4600"
"2012/12/11","194.2000","4143997.0000","193.1800","194.8000","193.1500"
"2012/12/10","192.6200","3438406.0000","192.1700","193.5400","191.6500"
"2012/12/07","191.9500","4091240.0000","190.1400","192.2000","190.1100"
"2012/12/06","189.7000","3215500.0000","189.1700","190.1800","188.4100"
"2012/12/05","188.6500","4202074.0000","189.0100","189.4600","186.9400"
"2012/12/04","189.3600","3990633.0000","189.7100","190.7500","189.0200"
"2012/12/03","189.4800","3349685.0000","190.7600","191.3000","188.3600"
"2012/11/30","190.0700","4935712.0000","191.7500","192.0000","189.5010"
"2012/11/29","191.5300","4077834.0000","192.7500","192.9000","190.2000"
"2012/11/28","191.9800","3603596.0000","190.9800","192.0400","189.2700"
"2012/11/27","191.2300","3289058.0000","192.0800","193.0500","191.0000"
"2012/11/26","192.8800","5209626.0000","192.4500","193.3700","191.7700"
"2012/11/23","193.4900","3877583.0000","191.0000","193.4900","190.8000"
"2012/11/21","190.2900","5189519.0000","189.3000","190.8900","188.9500"
"2012/11/20","189.2000","3170168.0000","189.8800","190.1100","188.2500"
"2012/11/19","190.3500","3587746.0000","188.6200","190.3900","188.3000"
"2012/11/16","186.9400","4660780.0000","186.3300","187.5600","185.1000"
"2012/11/15","185.8500","3411916.0000","185.8300","187.2000","184.7800"
"2012/11/14","185.5100","4403735.0000","189.1400","189.2700","185.2800"
"2012/11/13","188.3200","3407273.0000","188.3900","190.8800","188.2500"
"2012/11/12","189.2500","3067309.0000","190.0300","190.7700","187.4070"
"2012/11/09","189.6400","3667169.0000","189.8500","191.6400","188.8800"
"2012/11/08","190.1000","3542464.0000","191.4000","191.8100","190.0900"
"2012/11/07","191.1600","4745944.0000","193.3600","193.6800","191.1600"
"2012/11/06","195.0700","3280985.0000","195.2600","196.7500","194.6800"
"2012/11/05","194.1400","2736181.0000","192.3600","194.9700","192.0100"
"2012/11/02","193.4300","4260028.0000","197.5300","198.0000","193.2900"
"2012/11/01","197.1500","3758733.0000","194.6800","197.8900","194.5500"
"2012/10/31","194.5300","6052835.0000","194.8000","196.4100","193.6300"
"2012/10/26","193.2700","4006523.0000","191.4900","193.8700","191.4700"
"2012/10/25","191.6000","3248540.0000","191.4100","192.4400","190.7100"
"2012/10/24","190.7200","3737627.0000","192.4400","193.2900","190.5600"
"2012/10/23","191.2500","4426970.0000","193.5300","194.0000","190.9400"
"2012/10/22","194.4000","4402478.0000","193.7100","194.6800","192.4400"
"2012/10/19","193.3600","6619889.0000","195.2900","196.0800","193.1800"
"2012/10/18","194.9600","9295853.0000","199.9100","200.1400","194.0700"
"2012/10/17","200.6300","12669980.0000","201.2100","203.4100","198.5500"
"2012/10/16","211.0000","5603758.0000","209.9400","211.0000","209.4740"
"2012/10/15","208.9300","3059842.0000","208.8800","209.4000","207.8200"
"2012/10/12","207.8000","2711979.0000","205.6400","207.9600","205.5600"
"2012/10/11","205.7600","2909999.0000","206.5700","207.2700","205.6300"
"2012/10/10","205.8200","4024491.0000","207.8200","208.2300","205.0500"
"2012/10/09","207.9900","3579616.0000","209.9500","210.7400","207.7000"
"2012/10/08","209.8200","1982525.0000","210.0200","210.6400","209.2100"
"2012/10/05","210.5900","2858352.0000","211.1500","211.7900","210.0600"
"2012/10/04","210.3900","2956524.0000","210.2800","210.9700","208.5300"
"2012/10/03","210.5100","3192077.0000","209.9400","211.3050","209.3000"
"2012/10/02","209.8400","3239171.0000","210.9600","211.4700","208.5000"
"2012/10/01","210.4700","5457453.0000","208.0100","211.7500","207.9400"
"2012/09/28","207.4500","4905077.0000","205.6600","208.3200","205.3100"
"2012/09/27","205.9100","2760946.0000","204.3700","206.9000","204.1400"
"2012/09/26","204.0000","3423397.0000","205.0500","205.9800","203.9000"
"2012/09/25","204.9800","3345960.0000","205.6000","207.3200","204.9500"
"2012/09/24","205.2900","3511097.0000","205.0200","206.0600","204.9000"
"2012/09/21","205.9800","12772390.0000","207.3600","207.9400","205.9210"
"2012/09/20","206.1800","3738887.0000","205.8500","206.9900","205.3000"
"2012/09/19","206.4300","2605477.0000","207.5500","207.5700","206.0100"
"2012/09/18","207.0700","2476249.0000","206.8800","207.8798","206.4800"
"2012/09/17","207.1500","3274573.0000","205.5500","207.9900","205.5500"
"2012/09/14","206.8100","4057558.0000","206.2400","207.6500","206.0500"
"2012/09/13","206.3600","3879539.0000","204.3800","206.8100","203.4600"
"2012/09/12","203.7700","3283950.0000","203.5200","204.6500","202.9600"
"2012/09/11","203.2700","3910647.0000","200.5500","203.4600","200.5100"
"2012/09/10","200.9500","4208049.0000","199.3900","201.8200","198.7300"
"2012/09/07","199.5000","3413669.0000","199.1200","199.5000","198.0800"
"2012/09/06","199.1000","3930192.0000","196.2600","199.4600","196.1100"
"2012/09/05","195.0400","3312634.0000","194.4100","195.8500","193.8900"
"2012/09/04","194.5400","4512485.0000","196.6100","197.1700","193.2500"
"2012/08/31","194.8500","3193252.0000","194.3100","195.9500","193.4600"
"2012/08/30","193.3700","2740795.0000","194.7700","195.4700","193.1800"
"2012/08/29","195.0800","2141398.0000","195.1300","196.0399","194.9000"
"2012/08/28","194.8700","2539110.0000","195.5600","196.1100","194.5000"
"2012/08/27","195.6900","2498722.0000","197.9600","198.3000","195.6100"
"2012/08/24","197.7700","2638977.0000","194.9600","198.1100","194.2000"
"2012/08/23","195.7000","2756897.0000","197.0400","197.3700","195.4400"
"2012/08/22","197.2500","3295714.0000","198.6400","198.6500","196.9050"
"2012/08/21","198.6500","3110557.0000","200.9900","201.0000","198.3700"
"2012/08/20","200.5000","2335987.0000","200.6900","201.1300","200.0300"
"2012/08/17","201.2200","2551732.0000","201.0800","202.0000","200.6600"
"2012/08/16","200.8400","2729453.0000","198.7700","201.3240","198.1200"
"2012/08/15","198.4000","2111728.0000","198.9000","199.3300","197.9200"
"2012/08/14","198.2900","2562055.0000","198.8800","199.3300","197.7200"
"2012/08/13","199.0100","2418289.0000","198.8800","199.9800","197.7900"
"2012/08/10","199.2900","2600459.0000","197.8700","199.3700","197.2400"
"2012/08/09","198.4200","2103851.0000","198.6200","199.4600","197.8900"
"2012/08/08","199.0300","2068250.0000","198.2700","199.6900","198.1600"
"2012/08/07","199.9300","3208227.0000","199.4300","200.8800","198.8000"
"2012/08/06","198.7600","2337738.0000","198.7600","199.9400","198.5200"
"2012/08/03","198.5200","3202391.0000","196.4800","198.9500","196.1600"
"2012/08/02","194.4500","2812263.0000","194.1600","196.6000","193.0200"
"2012/08/01","195.1800","2559265.0000","196.9600","197.8500","194.7200"
"2012/07/31","195.9800","3507163.0000","196.5000","197.5800","195.8800"
"2012/07/30","196.6800","2786953.0000","196.3200","197.8400","195.9200"
"2012/07/27","196.3900","4177285.0000","195.1000","197.4100","193.9500"
"2012/07/26","193.9500","3284132.0000","193.4900","194.9500","192.5700"
"2012/07/25","191.0800","3833753.0000","190.3100","192.7700","189.3200"
"2012/07/24","190.3400","3595537.0000","190.9200","191.3200","188.5600"
"2012/07/23","190.8300","3893635.0000","189.7800","191.3000","188.2000"
"2012/07/20","192.4500","4789672.0000","194.0900","194.9000","192.1700"
"2012/07/19","195.3400","10394070.0000","193.4000","196.8500","192.9700"
"2012/07/18","188.2500","7991372.0000","184.1500","188.5900","183.5500"
