"date","close","volume","open","high","low"
"16:00","720.11","1,919,799","720.71","723","716.68"
"2012/12/19","720.1100","1918493.0000","720.7100","723.0000","716.6800"
"2012/12/18","721.0700","3004838.0000","716.6000","729.1000","715.0500"
"2012/12/17","720.7800","3034558.0000","705.5000","738.2800","704.0200"
"2012/12/14","701.9632","2129893.0000","699.1700","707.8200","698.4300"
"2012/12/13","702.7000","3443866.0000","715.9200","716.4750","699.5500"
"2012/12/12","697.5600","2425774.0000","699.2300","703.5100","693.4800"
"2012/12/11","696.8800","2687108.0000","690.0000","701.9200","687.7200"
"2012/12/10","685.4200","1366366.0000","685.3900","691.6500","683.7900"
"2012/12/07","684.2100","1918392.0000","695.0000","696.8800","682.4190"
"2012/12/06","691.1300","1462216.0000","687.5900","695.6100","684.5100"
"2012/12/05","687.8200","1860794.0000","692.1500","694.5000","682.3301"
"2012/12/04","691.0300","1991355.0000","695.0000","695.5100","685.7000"
"2012/12/03","695.2500","2192348.0000","702.2400","705.8900","694.1110"
"2012/11/30","698.3700","3162630.0000","691.3100","699.2200","685.6900"
"2012/11/29","691.8900","2775139.0000","687.7800","693.9000","682.0000"
"2012/11/28","683.6700","3041840.0000","668.0100","684.9100","663.8900"
"2012/11/27","670.7100","2508178.0000","660.1700","675.0000","658.0000"
"2012/11/26","661.1500","2202401.0000","666.4400","667.0000","659.0200"
"2012/11/23","667.9700","922477.0000","669.9700","670.0000","666.1000"
"2012/11/21","665.8700","2111456.0000","668.9900","669.8000","660.4000"
"2012/11/20","669.9700","2087785.0000","669.5100","678.0000","664.5700"
"2012/11/19","668.2100","2368104.0000","655.7000","668.9200","655.5300"
"2012/11/16","647.1800","3437836.0000","645.9900","653.0150","636.0000"
"2012/11/15","647.2600","1848663.0000","650.0000","660.0000","643.8960"
"2012/11/14","652.5500","1667792.0000","660.6600","662.1800","650.5000"
"2012/11/13","659.0532","1593945.0000","663.0000","667.6000","658.2300"
"2012/11/12","665.9000","1405870.0000","663.7500","669.8000","660.8700"
"2012/11/09","663.0300","3114084.0000","654.6500","668.3400","650.3000"
"2012/11/08","652.2900","2596940.0000","670.2000","671.4900","651.2300"
