time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-18T15:44:42.000Z,61.6054,-148.3131,32.3,1.6,ml,,,,0.53,ak,ak11531194,2015-03-18T15:56:06.973Z,"33km E of Lazy Mountain, Alaska",earthquake
2015-03-18T15:41:50.770Z,33.505,-116.5075,16.02,0.5,ml,18,80,0.05592,0.29,ci,ci37342080,2015-03-18T15:45:49.460Z,"16km ESE of Anza, California",earthquake
2015-03-18T15:19:32.990Z,36.4252,-116.391,14.91,0.65,ml,7,184.11,0.3,,nn,nn00487290,2015-03-18T15:20:52.502Z,"43km WNW of Pahrump, Nevada",earthquake
2015-03-18T15:15:03.600Z,32.642,-115.6441667,5.81,2.32,ml,25,76,0.06974,0.34,ci,ci37342064,2015-03-18T15:25:53.870Z,"9km NW of Progreso, B.C., Mexico",earthquake
2015-03-18T15:08:11.190Z,38.8233337,-122.7969971,4.18,0.55,md,10,82,0.01021,0.02,nc,nc72413310,2015-03-18T15:43:05.710Z,"6km W of Cobb, California",earthquake
2015-03-18T15:08:06.910Z,-1.0567,134.4471,36.7,5,mb,,72,2.872,0.6,us,us10001nfv,2015-03-18T16:01:33.208Z,"45km ESE of Manokwari, Indonesia",earthquake
2015-03-18T15:07:45.360Z,38.8466682,-122.8034973,0.04,0.8,md,14,60,0.009566,0.16,nc,nc72413305,2015-03-18T15:34:03.342Z,"7km WNW of Cobb, California",earthquake
2015-03-18T15:07:07.790Z,38.7851677,-122.7496643,4.05,0.87,md,15,55,0.01029,0.04,nc,nc72413300,2015-03-18T15:22:08.592Z,"1km NNE of The Geysers, California",earthquake
2015-03-18T15:03:34.000Z,60.2544,-152.7712,147.4,2.4,ml,,,,0.95,ak,ak11531139,2015-03-18T15:26:18.908Z,"25km S of Redoubt Volcano, Alaska",earthquake
2015-03-18T14:57:22.760Z,38.8748322,-122.6168365,5.5,1.06,md,6,213,0.07225,0.08,nc,nc72413295,2015-03-18T15:12:06.939Z,"3km S of Lower Lake, California",earthquake
2015-03-18T14:54:35.710Z,34.1348333,-116.844,10.46,1.03,ml,14,116,0.08664,0.13,ci,ci37342032,2015-03-18T14:58:20.803Z,"14km SSE of Big Bear Lake, California",earthquake
2015-03-18T14:21:29.970Z,33.4741667,-116.5586667,9.03,0.67,ml,22,115,0.04175,0.19,ci,ci37341976,2015-03-18T14:25:11.708Z,"14km SE of Anza, California",earthquake
2015-03-18T14:19:45.000Z,63.543,-151.0109,14.1,0.7,ml,,,,0.58,ak,ak11531138,2015-03-18T14:42:34.362Z,"104km W of Cantwell, Alaska",earthquake
2015-03-18T14:06:40.800Z,33.473,-116.5691667,7.88,1.37,ml,46,69,0.03508,0.24,ci,ci37341944,2015-03-18T14:17:53.040Z,"13km SE of Anza, California",earthquake
2015-03-18T13:50:38.020Z,33.2993333,-116.2306667,6.77,0.93,ml,20,78,0.1081,0.28,ci,ci37341912,2015-03-18T13:54:31.583Z,"14km ENE of Borrego Springs, California",earthquake
2015-03-18T13:43:49.900Z,19.319,-64.46,55,3.1,Md,3,342,1.27201444,0.05,pr,pr15077013,2015-03-18T15:47:09.386Z,"101km N of Road Town, British Virgin Islands",earthquake
2015-03-18T13:33:57.300Z,34.0333333,-116.878,13.8,0.95,ml,31,39,0.05834,0.27,ci,ci37341904,2015-03-18T13:38:03.012Z,"12km N of Banning, California",earthquake
2015-03-18T13:19:21.700Z,33.9335,-116.0236667,4.06,0.86,ml,12,157,0.0702,0.22,ci,ci37341896,2015-03-18T13:23:05.645Z,"23km S of Twentynine Palms, California",earthquake
2015-03-18T13:02:57.400Z,19.6124,-66.0187,72,3.3,Md,8,298.8,1.34118472,0.2,pr,pr15077012,2015-03-18T15:33:54.210Z,"127km N of San Juan, Puerto Rico",earthquake
2015-03-18T12:56:42.190Z,33.449,-116.375,12.67,0.61,ml,26,148,0.08545,0.22,ci,ci37341880,2015-03-18T13:00:33.386Z,"22km N of Borrego Springs, California",earthquake
2015-03-18T12:47:45.400Z,18.916,-67.3444,10,3.7,Md,18,298.8,0.49766667,0.41,pr,pr15077011,2015-03-18T13:34:38.486Z,"53km NNW of San Antonio, Puerto Rico",earthquake
2015-03-18T12:45:16.700Z,33.4935,-116.4846667,16.41,0.6,ml,22,96,0.05759,0.18,ci,ci37341872,2015-03-18T12:49:22.844Z,"19km ESE of Anza, California",earthquake
