time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-18T15:08:06.910Z,-1.0567,134.4471,36.7,5,mb,,72,2.872,0.6,us,us10001nfv,2015-03-18T16:01:33.208Z,"45km ESE of Manokwari, Indonesia",earthquake
2015-03-18T13:43:49.900Z,19.319,-64.46,55,3.1,Md,3,342,1.27201444,0.05,pr,pr15077013,2015-03-18T15:47:09.386Z,"101km N of Road Town, British Virgin Islands",earthquake
2015-03-18T13:02:57.400Z,19.6124,-66.0187,72,3.3,Md,8,298.8,1.34118472,0.2,pr,pr15077012,2015-03-18T15:33:54.210Z,"127km N of San Juan, Puerto Rico",earthquake
2015-03-18T12:47:45.400Z,18.916,-67.3444,10,3.7,Md,18,298.8,0.49766667,0.41,pr,pr15077011,2015-03-18T13:34:38.486Z,"53km NNW of San Antonio, Puerto Rico",earthquake
2015-03-18T11:59:10.000Z,60.5654,-151.658,94.2,2.6,ml,,,,0.98,ak,ak11531077,2015-03-18T12:13:45.344Z,"21km W of Kenai, Alaska",earthquake
2015-03-18T11:59:05.670Z,62.7014,138.3248,10,4.9,mb,,45,4.083,1.47,us,us10001nel,2015-03-18T12:19:07.582Z,"43km WNW of Nezhdaninskoe, Russia",earthquake
2015-03-18T10:03:49.900Z,17.9748,-65.4046,13,2.6,Md,8,158.4,0.18595126,0.23,pr,pr15077005,2015-03-18T10:53:08.515Z,"15km SSE of Esperanza, Puerto Rico",earthquake
2015-03-18T07:40:34.700Z,19.409,-64.9085,46,3,Md,5,313.2,1.15074188,0.11,pr,pr15077007,2015-03-18T15:43:01.044Z,"114km NNW of Road Town, British Virgin Islands",earthquake
2015-03-18T07:12:12.900Z,19.4232,-155.4027,4.3,2.6,Ml,,36,0.07186522,0.25,hv,hv60874621,2015-03-18T15:14:54.617Z,"17km W of Volcano, Hawaii",earthquake
2015-03-18T06:18:27.000Z,61.3524,-152.1645,111.4,2.5,ml,,,,0.7,ak,ak11530933,2015-03-18T14:21:09.980Z,"87km NNW of Nikiski, Alaska",earthquake
2015-03-18T05:39:16.930Z,-18.5619,-71.4133,23.4,4.8,mwr,,142,1.034,1.52,us,us10001ndn,2015-03-18T13:41:58.032Z,"102km S of Ilo, Peru",earthquake
2015-03-18T05:30:23.100Z,19.6142,-66.138,73,3.2,Md,13,284.4,1.18847112,0.47,pr,pr15077009,2015-03-18T13:33:01.791Z,"127km N of San Juan, Puerto Rico",earthquake
2015-03-18T05:14:44.600Z,19.9302,-64.6035,45,3.4,Md,11,320.4,1.73644344,0.28,pr,pr15077006,2015-03-18T13:17:23.188Z,"167km N of Road Town, British Virgin Islands",earthquake
2015-03-18T04:36:43.100Z,19.5923,-65.997,71,3.4,Md,14,284.4,1.21811553,0.44,pr,pr15077004,2015-03-18T12:39:12.854Z,"125km N of San Juan, Puerto Rico",earthquake
2015-03-18T03:21:46.190Z,13.1257,51.4177,10,4.6,mb,,159,2.577,0.7,us,us10001nd8,2015-03-18T11:24:14.726Z,"136km NW of Kilmia, Yemen",earthquake
2015-03-18T03:03:58.800Z,19.552,-66.0875,46,2.5,Md,9,291.6,1.23608183,0.23,pr,pr15077003,2015-03-18T11:06:30.649Z,"120km N of San Juan, Puerto Rico",earthquake
