time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-18T11:59:05.670Z,62.7014,138.3248,10,4.9,mb,,45,4.083,1.47,us,us10001nel,2015-03-18T12:19:07.582Z,"43km WNW of Nezhdaninskoe, Russia",earthquake
2015-03-18T05:39:16.930Z,-18.5619,-71.4133,23.4,4.8,mwr,,142,1.034,1.52,us,us10001ndn,2015-03-18T13:41:58.032Z,"102km S of Ilo, Peru",earthquake
2015-03-18T03:21:46.190Z,13.1257,51.4177,10,4.6,mb,,159,2.577,0.7,us,us10001nd8,2015-03-18T11:24:14.726Z,"136km NW of Kilmia, Yemen",earthquake
2015-03-18T01:22:18.770Z,-0.6954,122.331,40.73,4.9,mb,,54,0.559,1.2,us,us10001nc9,2015-03-18T09:24:51.758Z,"58km WNW of Luwuk, Indonesia",earthquake
2015-03-17T22:12:28.980Z,1.6576,126.4902,45.75,6.2,mww,,18,1.241,0.94,us,us10001nab,2015-03-18T12:59:14.040Z,"137km NW of Kota Ternate, Indonesia",earthquake
2015-03-17T20:16:18.270Z,-17.8036,-178.532,549.98,5.4,mb,,50,3.254,1.24,us,us10001n7n,2015-03-18T04:19:01.458Z,"269km SE of Lambasa, Fiji",earthquake
2015-03-17T19:37:57.330Z,-7.4761,156.2449,71.09,4.9,mb,,65,4.149,0.58,us,us10001n77,2015-03-18T03:41:32.254Z,"95km NW of Gizo, Solomon Islands",earthquake
2015-03-17T16:01:54.980Z,-4.7121,133.6209,34.15,4.5,mb,,143,2.246,1.02,us,us10001n5f,2015-03-18T00:04:33.630Z,"134km NNW of Dobo, Indonesia",earthquake
2015-03-17T15:48:04.110Z,44.6234,146.8194,27.45,4.7,mb,,134,3.072,0.56,us,us10001n53,2015-03-17T23:50:47.689Z,"91km N of Shikotan, Russia",earthquake
2015-03-17T10:31:43.290Z,-0.5908,122.4168,28.34,4.8,mb,,34,0.571,1.05,us,us10001n0c,2015-03-17T18:34:14.999Z,"57km NW of Luwuk, Indonesia",earthquake
2015-03-16T22:06:36.230Z,-5.7135,151.1048,74.81,5.1,mb,,56,1.843,1.2,us,us10001mwt,2015-03-17T06:09:17.947Z,"108km E of Kimbe, Papua New Guinea",earthquake
2015-03-16T15:49:49.050Z,45.6587,26.4354,115.7,4.5,mb,,56,0.22,0.76,us,us10001msg,2015-03-17T19:35:28.381Z,"17km SE of Comandau, Romania",earthquake
