DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/01/2016,9:55,MANHATTAN,10019,40.7660449,-73.983365,"(40.7660449, -73.983365)",WEST 56 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381194,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/01/2016,9:51,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381499,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:50,BROOKLYN,11226,40.6529272,-73.9593299,"(40.6529272, -73.9593299)",CATON AVENUE,FLATBUSH AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3381454,UNKNOWN,,,,
02/01/2016,9:50,MANHATTAN,10031,40.8226439,-73.9532176,"(40.8226439, -73.9532176)",WEST 139 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381243,PASSENGER VEHICLE,PICK-UP TRUCK,,,
02/01/2016,9:50,BRONX,10463,40.8772207,-73.9090451,"(40.8772207, -73.9090451)",WEST 228 STREET,MARBLE HILL AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381348,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:45,BROOKLYN,11236,40.6456289,-73.8976206,"(40.6456289, -73.8976206)",FLATLANDS AVENUE,EAST 101 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381440,SMALL COM VEH(4 TIRES),SMALL COM VEH(4 TIRES),,,
02/01/2016,9:45,BROOKLYN,11207,40.6537694,-73.8881549,"(40.6537694, -73.8881549)",COZINE AVENUE,SHEFFIELD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3382233,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:45,BRONX,10462,40.8398512,-73.852869,"(40.8398512, -73.852869)",PARKER STREET,CASTLE HILL AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381305,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2016,9:40,BROOKLYN,11220,40.6314859,-74.0137265,"(40.6314859, -74.0137265)",8 AVENUE,67 STREET,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3381432,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:40,,,40.6303186,-73.9184244,"(40.6303186, -73.9184244)",,,1944 RALPH AVENUE(PARKING LOT),0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381394,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:40,BROOKLYN,11235,40.5840651,-73.9339653,"(40.5840651, -73.9339653)",EMMONS AVENUE,COYLE STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3382111,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:40,BRONX,10469,40.8770335,-73.8463682,"(40.8770335, -73.8463682)",EASTCHESTER ROAD,BOSTON ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381323,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/01/2016,9:38,,,,,,,,CROSS BX EXPWY JEROME AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3381295,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:36,MANHATTAN,10019,40.7703138,-73.9914004,"(40.7703138, -73.9914004)",WEST 57 STREET,11 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3381200,PASSENGER VEHICLE,TAXI,,,
02/01/2016,9:35,STATEN ISLAND,10304,40.61991,-74.0858999,"(40.61991, -74.0858999)",LAUREL AVENUE,VANDUZER STREET,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3382537,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2016,9:33,BROOKLYN,11203,40.6521766,-73.928474,"(40.6521766, -73.928474)",CHURCH AVENUE,EAST 52 STREET,,1,0,0,0,0,0,1,0,Prescription Medication,Unspecified,,,,3382145,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2016,9:33,,,,,,CRANBERRY COURT,SHARROTTS ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381834,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/01/2016,9:30,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3382452,SMALL COM VEH(4 TIRES),TAXI,,,
02/01/2016,9:30,,,40.5903338,-73.9083909,"(40.5903338, -73.9083909)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,3382858,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
02/01/2016,9:30,MANHATTAN,10022,40.7615508,-73.9665842,"(40.7615508, -73.9665842)",EAST 59 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3381185,UNKNOWN,TAXI,,,
02/01/2016,9:30,MANHATTAN,10001,40.7524237,-74.0076661,"(40.7524237, -74.0076661)",JOE DIMAGGIO HIGHWAY,WEST 27 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3381160,PASSENGER VEHICLE,VAN,,,
02/01/2016,9:30,BROOKLYN,11219,40.6344673,-73.9927005,"(40.6344673, -73.9927005)",13 AVENUE,50 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381407,VAN,UNKNOWN,,,
02/01/2016,9:30,BROOKLYN,11213,40.6689504,-73.9338885,"(40.6689504, -73.9338885)",SCHENECTADY AVENUE,EASTERN PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3382253,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:25,QUEENS,11102,40.7719586,-73.925125,"(40.7719586, -73.925125)",ASTORIA BOULEVARD,22 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3381781,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:25,BROOKLYN,11207,40.6801424,-73.889405,"(40.6801424, -73.889405)",ARLINGTON AVENUE,BARBEY STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3382230,PASSENGER VEHICLE,OTHER,,,
02/01/2016,9:20,MANHATTAN,10016,40.7463915,-73.9776353,"(40.7463915, -73.9776353)",EAST 35 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381184,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
