13417,"Latitude","Longitude"
"ADK",51.88,176.65
"AKK",56.94,154.18
"Z13",60.9,161.42
"AKI",60.9,161.23
"AUK",62.68,164.66
"5A8",59.28,158.62
"4AK7",59.28,158.6
"Z25",59.26,158.56
"6A8",66.55,152.62
"AFM",67.11,157.86
"AK80",65.1,151.18
"AKP",68.13,151.74
"AK00",59.8,151.86
"00AK",59.86,151.7
"A13",61.34,149
"CSR",61.16,149.78
"EDF",61.25,149.81
"6AK5",61.17,150.16
"AK12",61.11,149.86
"Z41",61.19,149.97
"MRI",61.21,149.84
"AA05",61.51,149.08
"AA06",61.29,149.81
"9AK5",61.12,149.82
"ANC",61.17,150
"ANI",61.58,159.54
"ANN",55.04,131.57
"ANV",62.65,160.19
"ARC",68.11,145.58
"AKA",52.22,174.21
"4A2",60.87,162.27
"ATK",70.47,157.44
"ATU",52.83,173.18
"BRW",71.29,156.77
"BTI",70.13,143.58
"Z47",64.68,165.3
"AK02",65.54,161.06
"Z48",63.57,156.14
"Z52",56.04,160.27
"WBQ",66.36,147.41
"BLG",61.17,151.04
"BET",60.78,161.84
"BTT",66.91,151.53
"BGQ",61.54,149.81
"9AK7",61.59,149.82
"08AK",61.57,149.72
"AK86",61.57,149.91
"63AK",61.58,149.94
"20AK",61.5,149.9
"AK95",61.57,149.78
"09AK",61.59,149.85
"37AK",59.36,155.26
"Z91",66.27,145.82
"BCV",61.42,149.51
"5BK",63.54,145.86
"AK97",60.42,146.15
"BYA",64.08,141.11
"KTS",65.33,166.47
"AK98",65.64,167.49
"BVK",65.98,161.15
"AK75",65.91,161.93
"TTW",63.39,148.96
"15AK",63.37,148.85
"LUR",68.88,166.11
"EHM",58.65,162.06
"CZF",61.78,166.04
"26AK",54.58,164.91
"CEM",65.57,144.78
"CIK",66.65,143.74
"5CD",68.07,149.58
"WCR",67.5,148.48
"CFK",60.15,164.29
"AK13",65.05,146.05
"C05",60.08,147.99
"VAK",61.54,165.6
"CKX",64.07,141.95
"AJC",56.31,158.37
"KCL",56.31,158.53
"A79",56.26,158.78
"CZN",62.07,142.05
"CZO",62.56,144.67
"CXC",61.58,144.43
"9A3",61.58,159.22
"AK24",61.42,149.44
"CRC",65.83,144.08
"CHP",65.49,144.61
"CLP",58.83,158.53
"Z84",64.3,149.12
"CLF",64.26,149.19
"Z86",63.03,147.18
