State,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alabama,8,6,3,11,13,6,3,1,9
Alaska,3,3,4,3,10,6,7,7,9
Arizona,4,13,10,10,2,2,3,2,8
Arkansas,0,0,0,0,1,0,0,0,0
California,86,48,95,85,75,74,117,126,79
Colorado,0,0,0,0,0,2,0,1,0
Connecticut,1403,1348,1810,1788,3058,2738,2751,1964,2004
Delaware,212,339,646,482,715,772,984,656,767
District of Columbia,14,16,10,62,116,71,53,34,0
Florida,43,46,47,34,30,72,77,56,78
Georgia,10,12,6,8,11,35,40,10,32
Hawaii,0,0,0,0,0,0,0,0,0
Idaho,3,6,2,7,9,5,4,6,3
Illinois,71,87,127,110,149,108,136,135,194
Indiana,25,32,33,26,55,42,61,62,81
Iowa,58,49,89,97,123,85,77,68,72
Kansas,4,3,3,4,8,16,18,7,11
Kentucky,17,15,5,7,6,5,1,5,3
Louisiana,7,2,3,1,2,3,0,2,1
Maine,175,225,247,338,529,780,791,559,801
Maryland,691,891,1235,1248,2576,1746,1466,1163,938
Massachusetts,1532,1532,2336,1432,2988,3960,4019,2380,1801
Michigan,12,27,62,55,51,76,81,76,89
Minnesota,474,1023,917,914,1238,1046,1063,1293,1185
Mississippi,21,0,0,3,1,1,0,0,3
Missouri,70,25,15,5,10,6,3,4,5
Montana,0,0,0,1,4,6,3,3,9
Nebraska,2,2,2,11,7,8,4,7,7
Nevada,3,1,3,4,15,9,10,2,3
New Hampshire,190,226,265,617,896,1211,996,830,887
New Jersey,2887,2698,3363,2432,3134,3214,4598,3320,3398
New Mexico,1,1,3,3,5,4,1,3,2
New York,5399,5100,5565,4460,4165,5741,4134,2385,3118
North Carolina,156,122,49,31,53,16,21,21,18
North Dakota,0,0,3,7,12,8,10,21,22
Ohio,66,50,58,43,33,40,51,21,36
Oklahoma,0,3,0,0,1,1,2,0,2
Oregon,16,11,3,7,6,18,12,7,9
Pennsylvania,5730,3985,4287,3242,3994,3818,4950,3298,4739
Rhode Island,736,249,39,308,177,186,150,115,111
South Carolina,18,22,15,20,31,14,25,19,24
South Dakota,1,1,2,1,0,3,1,1,2
Tennessee,20,20,8,15,31,7,10,6,5
Texas,85,98,69,29,87,105,88,55,28
Utah,2,1,2,5,7,3,6,3,6
Vermont,43,50,54,105,138,330,323,271,476
Virginia,195,216,274,357,959,886,698,911,756
Washington,7,14,13,8,12,22,15,12,17
West Virginia,31,38,61,28,84,120,143,128,107
Wisconsin,740,1144,1459,1466,1814,1493,1952,2505,2408
Wyoming,2,4,3,1,3,1,1,0,1
Puerto Rico, 0,0,0,0,0,0,0,0,0
