,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FEDERAL RESERVE BANK of NEW YORK,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Chart and Table Data for Federal Reserve Bank of New York, The Labor Market for Recent College Graduates interactive web feature",,,,,,,,,,,,,,,,
"Updated: January 11, 2017",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Major,Unemployment Rate,Underemployment Rate,Median Wage Early Career,Median Wage Mid-Career,Share with Graduate Degree,,,,,,,,,,,
Accounting,3.3,26.5,45000,70000,27.7,,,,,,,,,,,
Advertising and Public Relations,3.0,44.0,38500,61000,17.3,,,,,,,,,,,
Aerospace Engineering,3.4,23.2,60000,100000,48.2,,,,,,,,,,,
Agriculture,1.9,57.3,36000,55000,20.9,,,,,,,,,,,
Animal and Plant Sciences,3.2,57.3,36000,55000,34.2,,,,,,,,,,,
Anthropology,7.0,56.2,30000,50000,48.3,,,,,,,,,,,
Architecture,4.9,34.8,40000,70000,37.2,,,,,,,,,,,
Art History,5.1,52.2,32300,61000,41.6,,,,,,,,,,,
Biochemistry,3.2,29.9,38000,75000,72.3,,,,,,,,,,,
Biology,5.6,45.6,30000,60000,63.8,,,,,,,,,,,
Business Analytics,3.1,36.0,54000,83000,23.9,,,,,,,,,,,
Business Management,4.2,60.4,39000,62000,22.5,,,,,,,,,,,
Chemical Engineering,5.0,16.8,70000,100000,49.8,,,,,,,,,,,
Chemistry,4.5,34.0,38000,68000,65.8,,,,,,,,,,,
Civil Engineering,2.7,18.7,54000,86000,37.1,,,,,,,,,,,
Commercial Art and Graphic Design,4.9,39.0,35000,54000,10.4,,,,,,,,,,,
Communications,4.6,57.6,37000,65000,22.9,,,,,,,,,,,
Computer Engineering,3.7,22.1,63000,100000,38.3,,,,,,,,,,,
Computer Science,4.2,25.9,55000,88000,31.7,,,,,,,,,,,
Construction Services,1.0,36.0,50000,75000,10.0,,,,,,,,,,,
Criminal Justice,5.0,75.3,34500,60000,22.5,,,,,,,,,,,
Early Childhood Education,2.1,22.8,30000,39000,37.2,,,,,,,,,,,
Earth Sciences,7.4,43.5,35000,60000,45.2,,,,,,,,,,,
Economics,4.6,39.2,50000,80000,40.4,,,,,,,,,,,
Electrical Engineering,3.6,19.9,63000,95000,44.7,,,,,,,,,,,
Elementary Education,2.0,18.6,33600,42000,46.5,,,,,,,,,,,
Engineering Technologies,3.9,36.6,50000,75000,22.7,,,,,,,,,,,
English Language,7.5,50.9,34000,57000,45.7,,,,,,,,,,,
Environmental Studies,5.5,53.7,33000,60000,30.3,,,,,,,,,,,
Ethnic Studies,6.0,51.0,35000,60000,51.5,,,,,,,,,,,
Family and Consumer Sciences,2.8,44.6,30000,45500,31.5,,,,,,,,,,,
Finance,3.8,37.2,50000,80000,30.4,,,,,,,,,,,
Fine Arts,6.6,58.2,30000,51000,22.6,,,,,,,,,,,
Foreign Language,5.6,53.8,32000,52000,49.1,,,,,,,,,,,
General Business,4.0,57.0,40000,65000,23.9,,,,,,,,,,,
